id,title,channelTitle,views,likes,duration,datetime
https://www.youtube.com/watch?v=AmZoLljdqaA,Take It Easy - Liu Grace - Team Thái VG | Rap Việt 2023 [MV Lyrics],Vie Channel - MUSIC,281199,4490,3M33S,2023-08-08
https://www.youtube.com/watch?v=FYgkHarTaCg,Rapper 16 tuổi CADMIUM hùng hồn rap về Việt Nam khiến 4 HLV đứng ngồi không yên| Rap Việt Live Stage,VieTalents,1406729,8340,17M15S,2023-05-30
https://www.youtube.com/watch?v=nAt_qsf3dZA,UMIE cuốn CAPTAIN vào tình yêu socola kẹo mút với Baby Gọi Cho Anh | Rap Việt Live Stage,VieTalents,1666780,11274,13M8S,2023-07-16
https://www.youtube.com/watch?v=lOgoXLY7edQ,HIEUTHUHAI giữ lời hứa hỗ trợ HURRYKNG với Một Công Đôi Việc | Rap Việt 2023 [LiveStage],Vie Channel ,1376924,25154,13M4S,2023-08-05
https://www.youtube.com/watch?v=XgArxMajFeE,Rhyder cân cả rap và hát siêu đỉnh với Để Anh Một Mình|Rap Việt Mùa 3 [Live Stage],Vie Channel ,3973305,26299,10M54S,2023-06-04
https://www.youtube.com/watch?v=KIZTlfpVjE8,TEAM B RAY VÒNG ĐỐI ĐẦU: 4 bản RAP TRIỆU VIEWS hay nhức nhối săn hết nón vàng | RAP VIỆT 3,VieTalents,412096,2256,14M19S,2023-07-17
https://www.youtube.com/watch?v=-4_ekEvTP2c,Pháp Kiều - SnoopDee hổng có vừa với màn kết hợp Hổng Có Ưa | Rap Việt 2023 [Live Stage],Vie Channel ,579873,6989,13M12S,2023-07-29
https://www.youtube.com/watch?v=AMAAt31eQYc,HURYKNG x HIEUTHUHAI - Một Công Đôi Việc chứng minh vừa đẹp trai còn RAP hay | Rap Việt Live Stage,VieTalents,738858,8560,13M2S,2023-08-06
https://www.youtube.com/watch?v=6_EgutCn2Nw,"Chơi như Dlow hệ chiến, đốt cháy sân khấu với bản hit của anh Bâus | Rap Việt Live Stage",VieTalents,2219674,12430,9M57S,2023-07-02
https://www.youtube.com/watch?v=ZbR6dYkqorI,Double2T x Masew - À Lôi  | Official Lyric Video @Masewprod @Double2TOfficial,Gia Đình Lớn,17459532,144967,3M13S,2023-07-13
https://www.youtube.com/watch?v=ud-3M8NJmwA,Công Hiếu khiến JustaTee Karik bật khóc khi rap Huỳnh Kim Long | Rap Việt 2023 [Live Stage],Vie Channel ,1376825,16875,14M13S,2023-06-18
https://www.youtube.com/watch?v=BL8VYMgdWxc,"&#39;Hoàng tử Long Biên&#39; 24k.Right lấy trọn 4 chọn, 4 nón vàng với bản rap Bao Giờ Lấy Vợ RAP VIỆT MÙA 3",VieShows,652142,4542,26M55S,2023-06-05
https://www.youtube.com/watch?v=CvruRKPV8lU,OGENUS cùng LIMITLXSS rap Anh Không Cố Ý gây u mê cả sân khấu | Rap Việt Live Stage,VieTalents,564978,4788,13M27S,2023-07-31
https://www.youtube.com/watch?v=JVZsRaZ6kTA,Tan chảy trong từng giai điệu với Anh Là Ai? của DT Tập Rap &amp; Công Hiếu | Rap Việt 2023 [Live Stage],Vie Channel ,2349056,24561,14M48S,2023-07-16
https://www.youtube.com/watch?v=OGV30up_JvE,Hãy Yêu Tôi Bây Giờ - HURRYKNG - Team BigDaddy | Rap Việt 2023 [MV Lyrics],Vie Channel - MUSIC,1132051,7193,4M38S,2023-06-14
https://www.youtube.com/watch?v=M-O070P2v6g,Nàng - OgeNus - Team BigDaddy | Rap Việt 2023 [MV Lyrics],Vie Channel - MUSIC,3993109,14553,4M9S,2023-06-13
